# ifit_device_catalog v1 — sections: names, iconPartNumbers, devices
[names]
FreeMotion t10.8
Gold's Gym Cycle Trainer 300 Ci
Gold's Gym Cycle Trainer 400 Ri
Gold's Gym Trainer 430i, ProForm Performance 300i
Gold's Gym Stride Trainer 350i
Weslo Cadence G 5.9i
ProForm 520 Zni
Gold's Gym Stride Trainer 450i
ProForm Hybrid Trainer
ProForm Hybrid Trainer Pro
ProForm Trainer 7.0
ProForm 225 CSX
ProForm 325 CSX
ProForm Le Tour De France
ProForm Whirlwind Pro
ProForm 450 LE
ProForm Evostride
NordicTrack C 7.5
NordicTrack E 400
NordicTrack GX 4.6
ProForm Endurance 420 E
69716 Ble Elliptical 20r
ProForm Endurance 720E
ProForm Endurance 320 E
NordicTrack T 10.0
NordicTrack T 7.0
NordicTrack X7i Interactive Incline Trainer
ProForm 210 CSX
ProForm 310 CSX
NordicTrack Vx 450
NordicTrack VxR 475
Free Motion 800
NordicTrack C 5.5
NordicTrack A.C.T.
NordicTrack E 9.5 i
NordicTrack E 7.5 i
NordicTrack GX 4.9 i
NordicTrack GX 2.9 i
FreeMotion t8.7
NordicTrack FreeStride Trainer FS3i
ProForm X-Bike Duo
NordicTrack X9i
FreeMotion t10.9b Reflex
ProForm Endurance 520 E
ProForm Endurance 720 E
ProForm Pro 2000
NordicTrack Elite 3750
NordicTrack X11i
ProForm PRO 9.9
ProForm 505 CST
ProForm 705 CST
NordicTrack SpaceSaver SE7i
ProForm 905 CST
ProForm 525 CT
NordicTrack 2950
ProForm Smart Strider 695 CSE
ProForm Smart Strider 495 CSE
ProForm 325 CSE
NordicTrack GX 4.4 PRO
NordicTrack VR21
NordicTrack Fusion CST
NordicTrack Vx 650
NordicTrack E 600
ProForm Sport 4.0
NordicTrack X22i
NordicTrack 2450, NordicTrack Elite 7750
NordicTrack 1750, NordicTrack Elite 5750 (Wolf Version)
Golds Gym Trainer 430i
NordicTrack C 1270 Pro
ProForm Pro 9000
ProForm 305 CST
ProForm Performance 900i
NordicTrack S22i
ProForm ErgoStride
NordicTrack C 1070 Pro
NordicTrack Elite 13.1 (Wolf Version)
NordicTrack Elite 14.9 (Wolf Version)
NordicTrack E 7.5 Z
NordicTrack GX 2.7 U
NordicTrack Spacesaver SE5i
NordicTrack Elite 10.9
NordicTrack GX 4.7 R (Bike)
NordicTrack C 590 Pro
NordicTrack S10i
ProForm Pro 5000 V1
ProForm 8.0 EX
ProForm 440 ES
ProForm Power 1295i V1
NordicTrack 1750
NordicTrack 2450
NordicTrack C 9.5
ProForm Endurance 1520 E
NordicTrack 14.9
NordicTrack VU 19 and NordicTrack GX 4.6 Pro
NordicTrack VR25
NordicTrack RW200
NordicTrack T 12.0
NordicTrack 12.9
NordicTrack Grand Tour Pro
NordicTrack Grand Tour
ProForm CARDIOHIIT TRAINER PRO
ProForm Endurance 920 E
NordicTrack FreeStride Trainer FS7i
NordicTrack Freestride Trainer FS9i
No product
NordicTrack A.C.T. 10
ProForm Smart Strider 895 CSE
NordicTrack SpaceSaver SE9i
FreeMotion i10.9 Incline Trainer
ProForm TOUR DE FRANCE
ProForm CoachLink E9.0
ProForm CoachLink T9.0
ProForm CoachLink C9.0
NordicTrack RW900
ProForm X-Bike
NordicTrack X9i Interactive Incline Trainer
NordicTrack X11i Interactive Incline Trainer
NordicTrack X22i Interactive Incline Trainer
FreeMotion e10.9b
FreeMotion u10.9b
FreeMotion t10.9 Reflex
NordicTrack A.C.T. 7
ProForm 320 CSX+
ProForm 525 CSE+
Pro Form Trainer 12.0
ProForm SMART Power 10.0
ProForm Power 995i
ProForm Power 1295i
NordicTrack 1750 - 2018
ProForm 320 CSX+ BLE
NordicTrack ELITE 10.9 i
ProForm HIIT Trainer Lite 5.9
ProForm HITT Trainer Lite 7.9
NordicTrack C 960i
FreeMotion Incline trainer
NordicTrack S15i
NordicTrack 2950 (Argon)
ProForm 225 CSE BLE
FreeMotion t8.9b
DK CITY VM
FreeMotion e8.9b
Healthrider H70t
FreeMotion BLE
FreeMotion i10.9b Incline Trainer
ProForm Pro 1500
Elliptical
NordicTrack S 500
NordicTrack S 600
NordicTrack T 7.0 S
IFITROW19 Console
TDF22
NordicTrack Elite 700
ProForm Tour De France PRO TC
Cadence aCS
ProForm Cadence R3.9
ProForm Cadence LE
Tour de France LC
ProForm Cadence WLT
ProForm Carbon EL
ProForm Carbon EX
ProForm City SE
FreeMotion Le Tour De France (Club)
HIIT H7
ProForm PRO TC
NordicTrack 9.9
NordicTrack E 10.0 Z
ProForm Power 795i
ProForm Power 595i
ProForm Crosswalk LT
ProForm Pro HIIT H14
FreeMotion Treadmill
ProForm Cadence LT 2.5
FreeMotion Fusion CST
Carbon CX
ProForm Sport 5.0
ProForm Sport 5.0 Treadmil
ProForm SPORT 3.0
FreeMotion planet fitness
FreeMotion t10.9b Reflex International NEW Delta
ProForm City L6
NordicTrack C 9.9
ProForm Sport 7.0C
ProForm Smart Power 10.0C
NordicTrack S 20i
NordicTrack S 25i
ProForm HIIT L6
ProForm 235 CSX Recumbent
ProForm Sport RL
NordicTrack GX 4.5 Pro
NordicTrack X32i
ProForm Sport 6.0
ProForm Carbon HIIT H7
NordicTrack R 35
NordicTrack VU 29
ProForm City H10
ProForm Pro H10
ProForm Pro C10U
ProForm PRO E14
ProForm PRO E10
ProForm PRO C22
ProForm Pro C14
NordicTrack Studio Bike
ProForm Sport 3.0
ProForm Sport 7.0
ProForm Cadence LT
ProForm Trainer 8.0
ProForm Powerwatts System
FreeMotion b22.7 CoachBike
NordicTrack T 6.5 S
Cadence Compact 300
Cadence Compact 500
ProForm Cycle Trainer 400 Ri
ProForm Sport E2.0
Studio Elliptical
ProForm Sport 5.5
ProForm Tour de France C14
NordicTrack Elite 1000
ProForm Trainer 9.0
ProForm Carbon T7
ProForm Trainer 12.0
ProForm Carbon T10
ProForm Pro 5000
ProForm Trainer 14.0
ProForm Carbon TL
ProForm Power C7L
ProForm Pro R10
ProForm Power T7L
ProForm Studio Bike Pro 22
NordicTrack EXP 7i
NordicTrack EXP 10i
ProForm Trainer R14
ProForm Trainer E7
NordicTrack FreeStride Trainer FS10i
NordicTrack Freestride Trainer FS14i
NordicTrack RW600
ProForm Trainer H7
NordicTrack Studio Bike 1000
ProForm Sport T7
